"","title","point","review"
"111","온다","10","따뜻한 봄에도 스산한 공포가 스며든다...."
"112","온다","10","사운드도 좋고 스토리도 좋아서 잘봤어요.  좀 무서웠어요^^"
"113","온다","10","일본판 곡성ㅠㅠ 기대보다 연출이 훨씬 뛰어난 작품"
"114","온다","8","믿고보는 감독님...!"
"115","온다","10","몰아치는 공포가 현실감있게 다가온다"
"116","사랑하고 있습니까","10","그냥 재밌는 영화 나왔네요 김소은 이뻐요 성훈 멋져요"
"117","온다","9","간만에 신선한 공포영화를 본 듯."
"118","온다","10","ㅋㅋㅋㅋ엄마랑 자야겠다.."
"119","온다","10","와..이건 글로 설명하기 어려운데  영상미랑 사운드, 스토리까지 미쳤다는 말 밖엔"
"120","온다","10","소름 돋는다...."
"121","울프 콜","1","댓글알바가 없어져야 나라가 산다..."
"122","나, 다니엘 블레이크","10","사회적 약자를 돕기위한 제도는 약자에겐 전혀 친절하지 않다 ㅜㅜ"
"123","사랑하고 있습니까","1","오글거리는 시나리오와 발연기의 환상적 껄래보뤠이션!!! 내 인생 최악의 로맨틱코미디 영화임에 틀림 없다. 궁금하면 꼭 보세요!!! (나만 당할 수 없지)"
"124","사랑하고 있습니까","10","잔잔한 여운이 남습니다 :)"
"125","사랑하고 있습니까","10","잔잔하고 담백해서 편히 볼 수 있는 영화 ! 피식피식 웃게되는 부분도 있고 막 시작하는 연인들이 보면 좋을 것 같은 ~ 첫 연애의 서툴렀던 감정들이 떠올라 20대를 회상하게 되는 영화였어요 ㅎㅎ 여운이 좀 남는 그런 영화~ 소은은 귀엽고 성훈은 너무 잘생기고 웃을 때 마다 사르르 녹아내림"
"126","미드소마","4","짙은 의도성 때문에 기괴함이 기괴하지 않음추상적인 몽환을 따라가다 우주로 가버림그냥 예쁜 영상미,자연 보려면 보세요"
"127","스케어리 스토리: 어둠의 속삭임","2","원작이 무섭대서 솔직히 기대하고 봤는데 잘 뻔 했다,,,너무 지루함ㅠ 영화관에 나랑 친구 말고는 아무도 없었던 게 더 소름"
"128","주디","10","희망, 감동, 사랑, 종합 선물세트! 지금 우리에게 필요한 응원의 메시지"
"129","나잇 & 데이","10","진짜 이영화는 더 대박 낫어야했다 스파이 연애코믹물로는 최고 대사 하나하나도 넘 재밋음 이 영화는 재미 없을수가 없음"
"130","작은 아씨들","9","인생의 유년기와 청춘의 시간을 불러내어 결국 눈물나게 만드는 영화."
"131","고양이의 보은","10","너무귀여워ㅠㅠㅠㅠ그냥 다 귀여워"
"132","스케어리 스토리: 어둠의 속삭임","6","크리쳐 퀄리티는 정말 혐오스럽고 눈꼴사나울정도로 너무 좋았습니다.  하지만 영화자체는 그이상이 없고 이하만 가득합니다ㅠ 보면서 'it'이랑 비슷한느낌을 받았는데 진짜 하의호환 느낌이었구요   그냥 예고편 보셨으면 영화 안봐도 될정도에여. 그게 다입니다...."
"133","사랑하고 있습니까","10","어려운 요즘같은 시기에 따뜻하고 달달한 느낌을 느낄 수 있는 영화입니다 복잡하지 않고 그냥 영화의 스토리라인을 그대로 따라가다 보면 어느새 웃고 있고 있더군요 추천합니다"
"134","007 골든 아이","8","탈냉전 초기 다소 한가하던 제임스 본드가 활동개시!로씨아를 뒤집는다!"
"135","감기","1","코로나 때문에 생각나서 넷플릭스로 봤는데 뭐지....어...CG도 발퀄이라 웃긴정도 ㅋㅋㅋㅋ개암걸리는캐릭터들+뻔한스토리+답답한전개=암이 암에걸려서 암이 나았다"
"136","사랑하고 있습니까","10","오랜만에 재밌는 영화 나왔네요"
"137","블랙머니","1","실제 있었던 사건인데도 기본적인 사실관계 조차 외곡된 가짜 ...  자산은 부채를 포함한 개념인대 ... BIS 비율만 다루지 쓸대 없이 너무 허위가 많이 들어갔다. 차라리 드라마 머니게임이 더 낫지..."
"138","버즈 오브 프레이(할리 퀸의 황홀한 해방)","10","타격감 좋은 액션이 좋았다. 영상미도 너무 좋았고 내 첫 인생영화로 등극"
"139","화이트 라이언 찰리","10","마음이 따뜻해 지고 아파오네요"
"140","모리의 정원","10","어지러운 마음 안에 소박한 중정을 만들고 쉬게 만드는 작품."
"141","마음의 행로","10","꼭 볼 가치가 있는 영화로 추천합니다. 어릴 때 봤고 지금도 마음에 남은 영화"
"142","화양연화","9","중점되는 두 주인공에 시선을 맞추고,다른 배우자들을 보여주지 않아주인공의 감정만을 느낄 수 있어 좋았다.옛날에 보면 답답할 수도 있었겠지만,이제 보게 되니 여백을 느낄 수 있었다."
